id,text,len tweet,likes,rt,position
1266235893406298112,Bug Fables: The Everlasting Sapling from @PaperBugDev and @Dangen_Ent is now available for Xbox One https://t.co/LWDGcKe3tP,123,131,19,0
1266233605686063104,Little Misfortune (@misfortunegame) from @Killmondaygames is now available for Xbox One https://t.co/nyPoROM0KL,111,106,16,0
1266231923208187905,Genetic Disaster from @Team8_Studio and @DrageusG is now available for Xbox One https://t.co/j72RlgQq2o,103,72,11,0
1266227640630837249,Rigid Force Redux is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/WI6uJJB5Dj,109,79,11,0
1266224152916049920,Warborn is now available for Digital Pre-order and Pre-download on Xbox One. Save 20% - limited time offer https://t.co/97poqUdqTb,130,94,13,0
1266222018921328641,Outbuddies DX is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/4CfLHfWSxZ,105,74,9,0
1266081319131287552,Evan’s Remains is now available for Digital Pre-order and Pre-download on Xbox One https://t.co/qgz7X1ulUp https://t.co/0CP6RRCxEl,130,150,21,0
1266063191554977793,More details on Xbox Series X back compat https://t.co/XqeLtgDhXw,65,1949,242,0
1266025980193374211,Atomicrops (@Atomicrops) is now available for Xbox One https://t.co/UNJkl66GMo,78,96,13,0
1266021553273139202,"Xbox Live Gold and Xbox Game Pass Ultimate members, play Jump Force, Hunt: Showdown, and Stellaris: Console Edition… https://t.co/1IS0SNWskX",140,270,53,0
1266021185004830720,Disintegration is available for Digital Pre-order and Pre-download on Xbox One https://t.co/dnIkapwKIB https://t.co/2AsV57h2Ua,126,181,34,0
1265991323502309376,"Read about the future of Backwards Compatibility on Xbox Series X from @jronald, Director of Program Management for… https://t.co/vpV4ywi4fp",140,1366,261,0
1265864795573501953,Those Who Remain (@ThoseWhoRemain) from @MrCamel101 and @WiredP is now available for Xbox One https://t.co/tVhLHFHz5r,117,274,48,0
1265863077058064385,Georifters (@georifters) from @busytoaster is now available for Xbox One https://t.co/0YUtCMQApI,96,83,14,0
1265862070416732165,Let’s Sing 2020 is now available for Xbox One https://t.co/u8L4UWbqxA,69,135,20,0
1265861909129031680,Woodle Tree Bundle is now available for Xbox One https://t.co/sbtTeD45rO,72,82,11,0
1265797250149572608,ICYMI: You can now watch @hbomax on Xbox One 📺🎮 https://t.co/PJiFdpitJl,71,400,49,0
1265691995927769088,RT @XboxWire: The Xbox Family Settings app is now available in Preview. Join today to help manage your child’s gaming on #Xbox right from y…,140,0,139,0
1265351621636009984,Asterix &amp; Obelix XXL 3 – DEMO is now available for Xbox One. Download it here: https://t.co/XuQeWRPznc,106,194,22,0
1265345623080886272,"Mortal Kombat 11: Aftermath is available for Xbox One, or grab the Mortal Kombat 11: Aftermath Kollection and get t… https://t.co/qcOiMgg2PR",140,232,30,0
1265340879411138560,Apex Legends - Pathfinder Edition is now available for Xbox One https://t.co/fzglFlcULF https://t.co/s1Lw14sV69,111,259,21,0
