id,text,len tweet,likes,rt,position
1265364620203536384,"RT @dungeonsgame: Adventurers, the day is finally here: Minecraft Dungeons arrives on Nintendo Switch, PlayStation 4, Windows, Xbox One, an…",140,0,1382,0
1258446425089859586,Which games are you excited about from today's Inside @Xbox stream? We're loving the spooky vibes from @BlooberTeam… https://t.co/UcCxW9WMv0,140,65,6,0
1258413559681134592,Inside @Xbox is live now with brand new Xbox Series X gameplay! Tune in here: https://t.co/ClfE9a3wDN https://t.co/0AEDY4IDDK,125,121,17,0
1258155348835221504,@Xbox https://t.co/qLqgYHCGM1,29,223,6,0
1255899282458079233,@Xbox https://t.co/Ng8M4AtncF,29,321,3,0
1255891041816727552,@Xbox https://t.co/WlQ2oQS7ZE,29,1194,13,0
