id,text,len tweet,likes,rt,position
1270976560258928641,"June's Game Pass additions include Kingdom Hearts HD on Xbox One, BattleTech on PC https://t.co/SVTooNl1qL",106,30,5,0
1270831101833932800,No Man's Sky heading to PC and Xbox Game Pass tomorrow and it's getting cross-platform multiplayer support at the s… https://t.co/OjOuOgwVI6,140,67,13,0
1270755062487355394,"June's Game Pass additions include Kingdom Hearts HD on Xbox One, BattleTech on PC https://t.co/SVTooNCCPl",106,21,3,0
1270705461894025217,No Man's Sky heading to PC and Xbox Game Pass tomorrow and it's getting cross-platform multiplayer support at the s… https://t.co/ykFVLpoP2q,140,178,30,0
1269587687259996160,"There's a secret message hidden on the Cyberpunk 2077 Xbox One X
",88,360,42,0
1269285463845715971,"Following fan complaints, EA extends free Madden Xbox Series X upgrade window https://t.co/nyO374gOsP",101,177,30,0
1268905643320266755,"Just in time for the Xbox Deals Unlocked sale, GAME is selling the Xbox one X Gold Rush edition for £259 https://t.co/PWpNSWs4nD",128,20,4,0
1268560193044045824,"BioShock: The Collection has been upgraded with 4K output support for PS4 Pro and Xbox One, but @digitalfoundry say… https://t.co/6t8PeVKINJ",140,61,9,0
