id,text,len tweet,likes,rt,position
1258492896581484545,Like what you saw today from the Xbox Series X gameplay reveal? Sign-up now to receive all the latest updates on th… https://t.co/US7E8fVnTM,140,82,9,0
1255554861124419586,"RT @THQNordic: Destroy All Humans! will be available on July 28! Pre-order at @GameStop for PlayStation 4 or Xbox One now!

Get it here: ht…",140,0,135,0
1253700394884182016,This weekend -- Don't miss awesome deals on pre-owned PS4 and Xbox One games in our Pre-owned Play More Sale.… https://t.co/yMq8dZUfUz,134,138,21,0
