id,text,len tweet,likes,rt,position
1271166562871832576,"#Video 📹 Aunque reconoció que el semáforo sanitario está en color rojo, el presidente López Obrador llamó a los ciu… https://t.co/x9abduJaRV",140,81,46,0
1271166003687206912,"RT @Univ_Cultura: Sin ""más remedio"", la Filarmónica de Nueva York cancela su temporada de otoño https://t.co/ZBZz4T8Qzh https://t.co/78hqdc…",140,0,10,0
1271156496319909888,#Video 📹 AMLO aseguró que no se eliminarán los recursos destinados para víctimas de personas desaparecidas puesto q… https://t.co/y86QDsUAwJ,140,16,4,0
1271152452335808512,"RT @Univ_Cultura: ¿Quién fue Carlos Pellicer?, autor del poema que se leyó hoy en la mañanera de AMLO https://t.co/JdkqIDPdrc https://t.co/…",140,0,15,0
1271151463054684160,"#Video 📹 El presidente Andrés Manuel López Obrador pidió al Poder Legislativo y al Judicial reanudar actividades, a… https://t.co/qmWkXT8WW7",140,30,14,0
1271143347864981512,"""No se han rebasado las predicciones"" por contagios y curva en CDMX: Sheinbaum https://t.co/mD4TM0YT4o https://t.co/ucTrS3MzjW",126,27,3,0
1271141396645392394,#Video 📹 AMLO destacó que con la posibilidad de que los menores de edad puedan abrir una cuenta bancaria se elimina… https://t.co/Pb9lY91Ju3,140,7,2,0
1271136363316985856,"#Video 📹 El presidente López Obrador aseguró que a reserva de conocer la iniciativa del coordinador de Morena, Rica… https://t.co/7uNaU92zz8",140,11,6,0
1271128105520955393,Hugo López-Gatell es incapaz de decir mentiras: AMLO https://t.co/LGS502jQjt https://t.co/reXNyOujal,100,36,15,0
